"","city_name","lon","lat","flights.sum","type","cancelled.percent","delay.percent","nas_delay.percent","carrier_delay.percent","weather_delay.percent","security_delay.percent","late_aircraft_delay.percent"
"1","Aberdeen, SD",-98.4864829,45.4646985,728,"destination",0.0151098901098901,0.164835164835165,0.043956043956044,0.0370879120879121,0.00961538461538462,0,0.0549450549450549
"2","Abilene, TX",-99.7331439,32.4487364,629,"destination",0.0317965023847377,0.246422893481717,0.127186009538951,0.0890302066772655,0.0333863275039746,0,0.12241653418124
"3","Adak Island, AK",-176.6217472,51.7615874,103,"destination",0.0776699029126214,0.145631067961165,0.0776699029126214,0.0485436893203883,0.00970873786407767,0,0.00970873786407767
"4","Akron, OH",-81.5190053,41.0814447,6178,"destination",0.0213661379087083,0.337973454192295,0.105050178051149,0.108773065717061,0.0140822272580123,0.00129491744901263,0.123340887018453
"5","Albany, GA",-84.155741,31.5785074,630,"destination",0.00793650793650794,0.228571428571429,0.0936507936507937,0.103174603174603,0.0126984126984127,0,0.0682539682539682
"6","Albany, NY",-73.7562317,42.6525793,10548,"destination",0.0167804323094425,0.382157755024649,0.0725255972696246,0.117368221463785,0.0118505877891543,0.000853242320819113,0.102199469093667
"7","Albuquerque, NM",-106.650422,35.0843859,20702,"destination",0.00729398125784948,0.415756931697421,0.0699932373683702,0.11873248961453,0.00632789102502174,0.000869481209544972,0.124722249058062
"8","Alexandria, LA",-92.4451371,31.3112936,1951,"destination",0.0287032291132752,0.203997949769349,0.0732957457713993,0.0717580727831881,0.0123013839056894,0,0.061506919528447
"9","Allentown/Bethlehem/Easton, PA",-75.441415,40.651834,2853,"destination",0.0143708377146863,0.281458114265685,0.0911321416053277,0.094987732211707,0.0119172800560813,0.000350508236943568,0.0837714686295128
"10","Alpena, MI",-83.4327528,45.0616794,623,"destination",0.0497592295345104,0.210272873194221,0.0417335473515249,0.0417335473515249,0.00481540930979133,0,0.0770465489566613
"11","Amarillo, TX",-101.8312969,35.2219971,3693,"destination",0.0186839967506093,0.337665854318982,0.0804224207961007,0.0934199837530463,0.00812347684809098,0.000541565123206066,0.112374763065259
"12","Anchorage, AK",-149.9002778,61.2180556,17443,"destination",0.0107206329186493,0.291864931491143,0.0944218311070343,0.0584188499684687,0.0064782434214298,0.00676489136043112,0.0517686177836381
"13","Appleton, WI",-88.4153847,44.2619309,3324,"destination",0.0144404332129964,0.243682310469314,0.0682912154031288,0.0761131167268351,0.00842358604091456,0,0.0764139590854392
"14","Arcata/Eureka, CA",-124.1065825,40.9709197,1205,"destination",0.0365145228215768,0.280497925311203,0.106224066390041,0.0796680497925311,0.0141078838174274,0,0.136929460580913
"15","Asheville, NC",-82.5514869,35.5950581,4588,"destination",0.016564952048823,0.32258064516129,0.0902353966870096,0.114210985178727,0.012205754141238,0.0013077593722755,0.11922406277245
"16","Ashland, WV",-81.3526016,37.4084488,130,"destination",0.00769230769230769,0.307692307692308,0.0769230769230769,0.115384615384615,0.0153846153846154,0,0.0846153846153846
"17","Aspen, CO",-106.8175387,39.1910983,6263,"destination",0.0306562350311352,0.30273032093246,0.108414497844483,0.0849433178987706,0.0166054606418649,0.000479003672361488,0.0999520996327639
"18","Atlanta, GA",-84.3879824,33.7489954,366548,"destination",0.0120584480068095,0.298157403668824,0.0732509794078811,0.0693988236192804,0.00782162227048027,0.000360116546809695,0.073788426072438
"19","Atlantic City, NJ",-74.4229266,39.3642834,3444,"destination",0.029616724738676,0.296457607433217,0.123983739837398,0.0603948896631823,0.00987224157955865,0.00145180023228804,0.0421022067363531
"20","Augusta, GA",-82.0105148,33.4734978,2794,"destination",0.0103793843951324,0.325340014316392,0.0948460987831067,0.105225483178239,0.015748031496063,0,0.098067287043665
"21","Austin, TX",-97.7430608,30.267153,56033,"destination",0.00940517195224243,0.376474577481127,0.0848428604572306,0.107936394624596,0.0080309817429015,0.000571092035050774,0.102618100048186
"22","Bakersfield, CA",-119.0187125,35.3732921,2234,"destination",0.00581915846016115,0.254700089525515,0.0801253357206804,0.0769919427036705,0.00223813786929275,0.000895255147717099,0.0989256938227395
"23","Baltimore, MD",-76.6121893,39.2903848,103438,"destination",0.0184845027939442,0.391403546085578,0.0677894004137744,0.0914557512712929,0.00862352326997815,0.000812080666679557,0.0961058798507318
"24","Bangor, ME",-68.7712257,44.8016128,1894,"destination",0.0633579725448786,0.272439281942978,0.090285110876452,0.0813093980992608,0.00739176346356917,0,0.107180570221753
"25","Barrow, AK",-156.788611,71.2905556,833,"destination",0.0168067226890756,0.148859543817527,0.0420168067226891,0.021608643457383,0.0108043217286915,0,0.0396158463385354
"26","Baton Rouge, LA",-91.1871466,30.4514677,6913,"destination",0.0185158397222624,0.260957616085636,0.0807174887892377,0.0973528135397078,0.0046289599305656,0,0.0893967886590482
"27","Beaumont/Port Arthur, TX",-94.1265562,30.080174,241,"destination",0.0539419087136929,0.190871369294606,0.0912863070539419,0.0705394190871369,0.037344398340249,0,0.0871369294605809
"28","Belleville, IL",-89.9839935,38.5200504,324,"destination",0.00617283950617284,0.339506172839506,0.12962962962963,0.135802469135802,0.00308641975308642,0.00308641975308642,0.0925925925925926
"29","Bellingham, WA",-122.4786854,48.7519112,1382,"destination",0.0130246020260492,0.219247467438495,0.0868306801736614,0.0658465991316932,0.00578871201157742,0.00144717800289436,0.0658465991316932
"30","Bemidji, MN",-94.8826861,47.471573,727,"destination",0.00962861072902338,0.182943603851444,0.0563961485557084,0.0343878954607978,0.00962861072902338,0,0.0605226960110041
"31","Bend/Redmond, OR",-121.299079,44.1617823,3899,"destination",0.0128238009746089,0.251859451141318,0.0856629905103873,0.0684790972044114,0.00615542446781226,0.000256476019492177,0.102846883816363
