"","origin_city_name","origin.sum"
"210","Montrose/Delta, CO",920
"211","Mosinee, WI",1704
"212","Muskegon, MI",686
"213","Myrtle Beach, SC",7669
"214","Nantucket, MA",665
"215","Nashville, TN",61065
"216","New Bern/Morehead/Beaufort, NC",826
"217","New Haven, CT",344
"218","New Orleans, LA",50904
"219","New York, NY",218826
"220","Newark, NJ",123906
"221","Newburgh/Poughkeepsie, NY",1516
"222","Newport News/Williamsburg, VA",1663
"223","Niagara Falls, NY",608
"224","Nome, AK",718
"225","Norfolk, VA",14663
"226","North Bend/Coos Bay, OR",326
"227","North Platte, NE",150
"228","Oakland, CA",51222
"229","Ogden, UT",55
"230","Ogdensburg, NY",68
"231","Oklahoma City, OK",17167
"232","Omaha, NE",20869
"233","Ontario, CA",21106
"234","Orlando, FL",129151
"235","Owensboro, KY",37
"236","Paducah, KY",688
"237","Palm Springs, CA",9599
"238","Panama City, FL",4512
"239","Pasco/Kennewick/Richland, WA",3804
"240","Pellston, MI",1024
"241","Pensacola, FL",6872
"242","Peoria, IL",3653
"243","Petersburg, AK",726
"244","Philadelphia, PA",85047
"245","Phoenix, AZ",162296
"246","Pittsburgh, PA",35199
"247","Plattsburgh, NY",561
"248","Pocatello, ID",1068
"249","Portland, ME",7327
"250","Portland, OR",63687
"251","Portsmouth, NH",117
"252","Providence, RI",15390
"253","Provo, UT",169
"254","Pueblo, CO",329
"255","Punta Gorda, FL",1976
"256","Quincy, IL",384
"257","Raleigh/Durham, NC",43547
"258","Rapid City, SD",3545
"259","Redding, CA",1065
"260","Reno, NV",16590
"261","Rhinelander, WI",726
"262","Richmond, VA",18166
"263","Roanoke, VA",1765
"264","Rochester, MN",3117
"265","Rochester, NY",9693
"266","Rock Springs, WY",673
"267","Rockford, IL",258
"268","Roswell, NM",715
"269","Sacramento, CA",45838
"270","Saginaw/Bay City/Midland, MI",2711
"271","Salina, KS",56
"272","Salt Lake City, UT",112248
"273","San Angelo, TX",1074
"274","San Antonio, TX",35319
"275","San Diego, CA",86872
"276","San Francisco, CA",177658
"277","San Jose, CA",51177
"278","San Luis Obispo, CA",3818
"279","Sanford, FL",3306
"280","Santa Ana, CA",41953
"281","Santa Barbara, CA",5830
"282","Santa Fe, NM",1456
"283","Santa Maria, CA",52
"284","Santa Rosa, CA",1482
"285","Sarasota/Bradenton, FL",3924
"286","Sault Ste. Marie, MI",676
"287","Savannah, GA",9945
"288","Scottsbluff, NE",155
"289","Scranton/Wilkes-Barre, PA",2407
